tds,turbidity,ph,quality,quality_label
456.47,2.98,6.51,2,Good
710.57,8.81,7.67,1,Acceptable
139.81,0.3,7.29,3,Excellent
268.48,0.9,7.31,3,Excellent
155.72,0.37,7.18,3,Excellent
1212.3,14.38,5.53,0,Poor
717.88,4.09,5.62,1,Acceptable
360.93,1.03,6.83,2,Good
1721.08,34.18,9.08,0,Poor
220.74,0.1,7.19,3,Excellent
938.64,9.32,5.48,0,Poor
122.69,0.1,7.45,3,Excellent
506.89,1.61,7.46,2,Good
349.71,6.04,6.79,2,Good
688.84,1.44,6.43,1,Acceptable
553.99,1.31,7.22,2,Good
444.68,3.53,6.95,2,Good
278.01,6.87,7.06,2,Good
197.87,0.1,7.6,3,Excellent
1743.29,1.69,5.7,1,Acceptable
997.36,1.08,9.34,1,Acceptable
455.52,0.3,6.78,2,Good
732.57,7.11,7.59,1,Acceptable
637.19,2.25,6.83,2,Good
596.02,4.17,6.6,2,Good
263.34,0.38,7.59,3,Excellent
566.27,4.99,5.36,0,Poor
431.32,0.56,6.66,2,Good
118.22,0.62,7.32,3,Excellent
513.32,5.89,6.19,1,Acceptable
53.23,1.45,7.11,3,Excellent
793.91,9.28,6.61,1,Acceptable
132.37,0.1,7.49,3,Excellent
131.48,0.36,7.24,3,Excellent
1417.25,45.12,9.33,0,Poor
175.14,0.97,7.39,3,Excellent
357.11,1.51,6.8,2,Good
443.27,0.18,7.05,3,Excellent
1019.82,14.52,9.43,0,Poor
158.63,0.18,7.31,3,Excellent
547.6,1.18,7.3,2,Good
494.11,4.38,6.9,2,Good
946.24,0.1,6.98,2,Good
260.02,0.63,7.44,3,Excellent
746.21,14.62,6.0,1,Acceptable
1115.23,17.65,5.74,0,Poor
671.69,0.49,8.78,2,Good
399.96,0.1,6.94,2,Good
477.94,2.03,7.34,2,Good
494.65,0.18,7.32,3,Excellent
449.69,0.76,6.5,2,Good
375.01,0.95,7.58,1,Acceptable
759.72,16.04,6.57,1,Acceptable
489.4,0.49,6.79,2,Good
423.57,1.27,7.01,2,Good
108.08,0.31,7.33,3,Excellent
414.64,3.74,6.96,3,Excellent
150.88,0.15,7.25,3,Excellent
1612.02,12.41,9.11,0,Poor
1542.56,17.79,6.01,0,Poor
525.87,0.41,6.8,1,Acceptable
198.5,1.14,7.27,3,Excellent
252.55,0.11,7.34,3,Excellent
829.55,13.22,5.34,0,Poor
397.33,1.73,6.66,2,Good
978.58,17.24,5.61,0,Poor
832.1,6.69,7.34,2,Good
621.08,2.26,6.88,2,Good
484.07,11.56,7.25,2,Good
591.58,3.31,6.47,2,Good
901.08,3.81,5.41,1,Acceptable
251.27,0.13,7.15,3,Excellent
841.91,10.27,6.0,0,Poor
823.29,3.13,6.39,1,Acceptable
449.92,3.0,7.02,2,Good
943.99,1.2,5.52,1,Acceptable
559.99,0.75,6.51,2,Good
119.96,0.1,7.18,3,Excellent
314.08,50.0,9.62,1,Acceptable
214.8,0.7,7.33,3,Excellent
682.65,23.78,7.79,1,Acceptable
223.84,0.38,7.02,3,Excellent
202.3,0.1,7.46,3,Excellent
1735.43,1.8,5.98,1,Acceptable
635.71,2.19,7.64,2,Good
311.83,5.21,7.31,2,Good
620.33,2.19,7.51,2,Good
881.61,5.52,9.28,1,Acceptable
203.12,0.59,7.15,3,Excellent
913.58,4.6,6.29,1,Acceptable
253.51,0.16,7.31,3,Excellent
188.98,0.65,7.15,3,Excellent
564.3,0.31,6.83,2,Good
673.99,1.75,6.34,1,Acceptable
148.61,0.1,7.2,3,Excellent
784.42,5.42,5.32,2,Good
446.62,0.26,6.92,2,Good
265.35,1.26,7.06,3,Excellent
243.22,0.39,7.16,3,Excellent
559.38,2.53,6.67,2,Good
222.65,0.1,7.37,3,Excellent
550.11,2.47,6.86,2,Good
487.79,2.24,6.45,2,Good
597.01,1.78,4.91,2,Good
1139.26,13.22,7.09,1,Acceptable
674.23,0.53,6.81,2,Good
777.35,2.51,6.34,1,Acceptable
752.48,6.94,6.85,1,Acceptable
483.99,5.0,7.43,1,Acceptable
811.7,7.13,5.83,0,Poor
454.17,1.59,6.95,2,Good
324.82,0.65,7.63,2,Good
855.03,4.59,4.9,1,Acceptable
545.45,1.97,6.26,2,Good
371.08,1.79,7.24,2,Good
192.74,1.2,7.43,3,Excellent
1218.85,32.14,9.59,0,Poor
1184.14,24.05,9.98,0,Poor
489.3,6.72,6.78,2,Good
1379.88,25.62,9.78,0,Poor
509.11,1.0,7.5,2,Good
400.9,2.78,9.05,1,Acceptable
347.88,0.63,7.7,2,Good
201.84,0.1,7.03,3,Excellent
384.21,2.09,7.24,2,Good
1577.96,4.73,5.74,1,Acceptable
645.05,1.29,7.02,2,Good
174.61,0.12,7.38,3,Excellent
250.0,0.22,7.28,3,Excellent
227.68,0.31,7.32,3,Excellent
331.88,0.54,7.17,3,Excellent
676.95,6.96,6.96,1,Acceptable
1452.38,10.75,10.69,0,Poor
189.04,0.64,7.38,3,Excellent
163.28,0.1,7.51,3,Excellent
559.64,1.81,6.85,2,Good
443.48,6.24,6.85,3,Excellent
535.76,2.5,6.9,2,Good
270.3,0.22,7.24,3,Excellent
887.5,1.09,6.68,2,Good
399.42,1.66,6.99,1,Acceptable
820.83,0.67,7.0,2,Good
967.59,11.64,8.47,1,Acceptable
329.05,0.1,7.34,3,Excellent
215.74,0.1,6.94,3,Excellent
521.03,0.1,7.12,3,Excellent
170.83,0.45,7.22,3,Excellent
700.53,28.95,5.24,0,Poor
504.87,1.17,6.83,2,Good
421.42,3.16,7.1,2,Good
1659.9,3.33,4.34,1,Acceptable
442.47,2.1,6.95,2,Good
835.74,3.59,6.51,2,Good
712.71,1.51,6.72,2,Good
1173.56,2.43,5.09,1,Acceptable
756.59,1.71,8.41,2,Good
1289.91,14.34,5.45,1,Acceptable
501.9,1.63,7.87,2,Good
384.8,1.95,7.02,2,Good
502.73,0.48,7.31,3,Excellent
423.13,1.79,6.98,2,Good
501.41,1.91,7.19,2,Good
284.95,0.67,7.66,3,Excellent
146.44,0.13,6.84,3,Excellent
1085.85,3.54,10.39,1,Acceptable
885.48,5.1,6.55,1,Acceptable
425.43,1.66,7.07,2,Good
1036.85,3.68,7.9,1,Acceptable
1233.77,12.21,8.89,0,Poor
670.95,2.34,6.29,0,Poor
1785.93,13.44,6.2,0,Poor
332.9,1.39,7.28,2,Good
667.99,3.82,6.33,1,Acceptable
383.27,0.85,7.23,3,Excellent
716.86,0.97,6.75,2,Good
516.45,1.9,7.48,2,Good
194.84,0.48,7.16,3,Excellent
351.76,3.08,6.31,2,Good
234.38,0.36,7.2,3,Excellent
377.56,6.33,6.58,1,Acceptable
807.05,4.09,6.09,1,Acceptable
849.08,8.3,6.74,1,Acceptable
421.63,1.1,7.6,2,Good
439.48,0.18,7.37,3,Excellent
158.37,0.22,7.13,3,Excellent
467.71,5.26,7.6,2,Good
691.82,5.17,6.31,1,Acceptable
1396.11,9.91,9.51,0,Poor
250.67,0.14,7.29,3,Excellent
414.14,8.3,6.39,1,Acceptable
354.02,50.0,4.7,1,Acceptable
337.33,0.99,7.12,3,Excellent
268.79,0.18,7.57,3,Excellent
287.3,0.61,7.32,3,Excellent
991.36,2.59,4.92,1,Acceptable
661.42,5.44,7.82,1,Acceptable
222.06,1.0,7.33,3,Excellent
345.56,0.47,6.94,2,Good
507.16,0.81,6.79,2,Good
1621.06,50.0,9.42,0,Poor
784.75,9.19,5.89,1,Acceptable
1087.51,15.54,5.74,0,Poor
207.6,0.19,7.25,3,Excellent
784.19,3.36,6.68,2,Good
582.74,1.4,6.67,2,Good
713.62,4.17,6.9,1,Acceptable
814.48,9.41,7.81,1,Acceptable
450.41,5.21,7.81,2,Good
966.25,49.79,6.47,0,Poor
211.23,2.15,6.96,3,Excellent
251.51,0.27,7.19,3,Excellent
1235.14,17.02,5.84,0,Poor
1338.68,1.38,9.73,1,Acceptable
444.25,0.81,7.15,3,Excellent
228.68,0.79,7.23,3,Excellent
1220.03,28.91,5.94,1,Acceptable
1697.73,7.67,9.8,0,Poor
306.26,0.48,7.03,3,Excellent
720.93,0.9,6.91,2,Good
1727.74,9.67,5.32,0,Poor
233.97,0.16,7.54,3,Excellent
321.04,1.01,7.06,2,Good
1216.18,18.37,9.73,0,Poor
425.97,0.62,6.82,2,Good
156.26,0.13,7.17,3,Excellent
414.8,1.05,6.89,2,Good
527.07,2.67,6.51,2,Good
873.35,0.41,7.62,2,Good
844.36,3.24,8.16,2,Good
413.3,5.59,7.38,2,Good
333.23,0.38,6.75,1,Acceptable
346.13,0.94,6.63,2,Good
231.54,0.51,7.3,3,Excellent
948.41,0.79,6.59,2,Good
455.38,1.62,6.49,2,Good
516.67,0.19,7.25,3,Excellent
1145.01,25.67,5.17,0,Poor
584.25,2.22,7.41,2,Good
1366.15,9.69,9.31,0,Poor
671.95,3.05,6.86,2,Good
643.12,7.19,5.99,1,Acceptable
143.43,0.15,7.19,3,Excellent
439.15,0.42,7.4,3,Excellent
265.79,0.54,7.07,3,Excellent
500.71,0.9,6.84,2,Good
296.09,0.88,7.32,3,Excellent
777.02,0.68,7.24,1,Acceptable
210.59,0.46,7.34,3,Excellent
655.48,0.67,6.45,2,Good
260.24,0.52,7.26,3,Excellent
222.47,0.1,7.19,3,Excellent
162.89,1.36,6.86,2,Good
483.81,1.08,6.58,2,Good
1268.96,1.58,9.42,1,Acceptable
235.05,0.22,7.43,3,Excellent
1491.63,30.9,10.6,0,Poor
684.28,9.74,7.48,2,Good
556.78,3.61,7.77,2,Good
469.37,4.31,7.14,2,Good
196.81,0.27,7.26,3,Excellent
859.07,0.45,5.26,1,Acceptable
377.88,1.95,7.7,2,Good
812.02,4.74,7.73,1,Acceptable
381.01,5.82,6.55,2,Good
1256.15,16.96,5.75,0,Poor
434.75,1.39,6.9,2,Good
1203.58,9.72,8.78,1,Acceptable
657.61,4.17,6.56,1,Acceptable
201.23,0.64,7.17,3,Excellent
599.99,2.41,7.17,2,Good
1102.39,31.82,9.97,0,Poor
577.44,3.31,5.78,1,Acceptable
454.97,4.5,7.42,2,Good
785.77,20.51,7.05,2,Good
1366.23,1.94,10.18,1,Acceptable
219.37,0.1,7.38,3,Excellent
1035.38,1.41,5.37,1,Acceptable
183.4,0.43,6.93,3,Excellent
202.11,0.67,7.26,3,Excellent
119.62,0.12,7.2,3,Excellent
1177.51,15.0,9.36,0,Poor
843.99,0.98,6.35,2,Good
816.96,1.68,8.3,2,Good
759.5,12.89,7.15,2,Good
761.39,5.0,5.9,1,Acceptable
174.08,4.74,7.05,2,Good
915.34,0.23,7.12,2,Good
124.67,0.33,7.32,3,Excellent
765.68,1.28,8.3,2,Good
752.65,6.85,7.75,1,Acceptable
546.58,0.24,7.24,3,Excellent
1162.61,4.88,5.5,0,Poor
571.79,0.1,7.63,2,Good
433.73,0.6,6.85,2,Good
370.95,0.12,7.36,3,Excellent
1086.15,2.67,6.82,1,Acceptable
238.1,0.72,7.55,3,Excellent
184.39,0.49,7.33,3,Excellent
192.37,0.5,7.18,3,Excellent
211.24,0.43,7.25,3,Excellent
850.61,19.45,8.05,1,Acceptable
159.52,0.24,6.92,3,Excellent
112.45,0.1,7.01,3,Excellent
1247.15,0.97,5.18,1,Acceptable
545.33,0.86,6.39,2,Good
650.87,4.05,7.54,2,Good
562.32,27.92,6.15,1,Acceptable
1189.04,2.7,5.16,1,Acceptable
345.43,0.94,7.4,3,Excellent
205.66,0.47,7.31,3,Excellent
638.43,3.52,7.75,2,Good
455.34,9.42,6.51,2,Good
143.56,0.1,7.11,3,Excellent
725.63,1.1,6.69,2,Good
150.31,0.14,7.43,3,Excellent
816.25,30.93,9.37,0,Poor
298.05,0.67,7.28,3,Excellent
1121.0,50.0,5.63,0,Poor
1392.38,7.11,9.44,0,Poor
255.05,0.1,6.91,3,Excellent
513.42,6.06,7.3,2,Good
270.1,0.25,7.24,3,Excellent
530.08,2.53,6.86,1,Acceptable
798.33,5.46,6.78,1,Acceptable
212.73,0.1,7.27,3,Excellent
232.49,0.4,7.22,3,Excellent
361.43,1.69,6.66,2,Good
497.08,1.5,7.04,3,Excellent
236.77,0.19,7.33,3,Excellent
226.16,0.72,7.15,3,Excellent
366.71,2.74,7.13,2,Good
1448.17,3.58,10.69,1,Acceptable
599.75,0.1,6.71,2,Good
973.84,14.07,7.77,1,Acceptable
541.31,3.25,6.92,2,Good
1589.23,9.33,5.59,0,Poor
704.57,8.31,6.73,1,Acceptable
524.32,1.37,6.64,2,Good
219.12,0.1,7.27,3,Excellent
1005.05,50.0,9.71,0,Poor
303.27,0.2,6.85,1,Acceptable
196.11,0.1,6.86,3,Excellent
851.02,2.2,6.05,1,Acceptable
714.75,12.88,6.98,1,Acceptable
182.65,0.28,7.04,3,Excellent
780.44,11.25,8.76,1,Acceptable
679.26,13.39,7.62,1,Acceptable
429.36,2.0,5.6,1,Acceptable
793.46,0.82,6.27,3,Excellent
634.43,1.86,5.76,1,Acceptable
758.1,8.69,5.26,1,Acceptable
1700.98,29.86,10.34,0,Poor
478.13,1.56,6.39,2,Good
386.48,0.31,6.95,2,Good
521.26,3.55,7.39,2,Good
288.46,0.1,7.01,3,Excellent
581.74,0.72,7.87,2,Good
159.82,0.58,7.2,3,Excellent
441.77,1.7,6.99,2,Good
787.21,7.75,7.81,1,Acceptable
581.08,4.12,7.38,3,Excellent
505.49,2.2,6.6,1,Acceptable
559.43,1.24,6.64,2,Good
200.58,0.1,7.17,3,Excellent
664.11,10.84,7.21,2,Good
1934.84,5.44,9.82,0,Poor
516.55,1.04,7.49,2,Good
309.71,0.61,7.21,3,Excellent
396.86,2.53,6.77,2,Good
528.88,1.94,6.79,2,Good
259.52,0.16,7.54,3,Excellent
432.76,0.33,6.61,2,Good
214.13,1.12,6.81,3,Excellent
470.68,0.1,6.5,2,Good
1366.19,13.29,4.68,0,Poor
1196.0,6.08,9.3,0,Poor
433.21,3.64,6.53,2,Good
1022.5,0.25,6.78,2,Good
201.84,0.91,7.19,3,Excellent
269.85,1.84,7.3,2,Good
491.79,1.07,7.33,2,Good
723.2,18.52,6.68,1,Acceptable
468.22,0.1,8.47,2,Good
121.3,0.8,7.35,3,Excellent
972.78,12.26,9.69,0,Poor
501.74,2.88,7.14,2,Good
206.51,0.63,7.11,3,Excellent
552.2,8.05,5.36,1,Acceptable
336.17,9.97,6.4,1,Acceptable
613.99,2.71,6.77,2,Good
974.49,8.48,7.14,2,Good
705.68,19.06,6.2,1,Acceptable
132.93,0.1,7.44,3,Excellent
210.41,0.34,7.39,3,Excellent
257.54,0.89,7.31,3,Excellent
146.7,0.75,6.98,3,Excellent
158.38,1.7,7.22,3,Excellent
807.53,2.36,6.57,2,Good
886.96,3.56,7.08,2,Good
143.21,0.1,7.39,3,Excellent
801.42,29.23,5.1,0,Poor
311.86,0.76,7.25,3,Excellent
411.86,1.83,7.53,2,Good
400.13,1.48,6.96,2,Good
656.62,5.68,7.4,2,Good
193.42,0.26,7.26,3,Excellent
907.88,1.42,6.71,1,Acceptable
337.25,0.82,7.01,3,Excellent
298.61,0.1,6.99,3,Excellent
206.24,0.78,7.48,3,Excellent
235.75,1.01,7.35,3,Excellent
721.99,0.6,6.67,2,Good
505.04,2.34,7.1,2,Good
953.1,3.03,5.2,1,Acceptable
169.0,0.67,7.05,3,Excellent
282.62,3.0,6.6,2,Good
670.79,2.6,6.98,2,Good
625.83,0.31,6.48,2,Good
165.85,0.32,7.28,3,Excellent
1439.42,32.88,4.95,0,Poor
580.04,11.88,6.4,1,Acceptable
1688.52,22.22,6.32,0,Poor
872.3,2.59,6.34,1,Acceptable
862.35,1.59,9.64,1,Acceptable
1048.81,0.33,8.43,2,Good
502.03,3.4,7.43,3,Excellent
555.55,1.27,7.85,2,Good
1550.07,7.61,4.86,0,Poor
773.29,0.4,7.05,2,Good
452.03,3.08,7.19,2,Good
792.69,0.9,6.73,2,Good
1137.29,24.15,9.67,0,Poor
355.09,0.5,6.6,2,Good
256.41,0.28,7.33,3,Excellent
474.47,1.23,6.71,2,Good
1296.82,20.56,8.75,0,Poor
711.94,12.71,6.53,1,Acceptable
479.93,0.58,6.61,3,Excellent
761.51,16.12,6.33,1,Acceptable
708.61,6.9,7.01,2,Good
505.45,7.12,6.51,3,Excellent
896.77,2.65,6.79,2,Good
435.16,0.19,7.42,3,Excellent
1143.39,16.97,9.75,0,Poor
878.16,1.19,7.69,2,Good
443.94,0.1,6.41,3,Excellent
257.41,0.72,7.05,3,Excellent
442.79,0.1,7.7,2,Good
901.07,6.43,5.37,0,Poor
383.22,0.96,6.75,2,Good
398.93,3.17,7.59,2,Good
123.83,0.85,7.21,3,Excellent
478.17,2.0,6.75,2,Good
451.04,0.1,6.22,2,Good
443.31,0.1,7.43,3,Excellent
796.25,5.67,6.1,0,Poor
382.6,2.2,6.72,2,Good
317.02,0.25,7.71,2,Good
919.17,0.49,6.75,2,Good
678.78,0.95,7.12,2,Good
1011.28,25.85,5.22,0,Poor
181.31,2.85,7.25,3,Excellent
783.77,2.8,7.18,2,Good
528.97,2.64,7.67,2,Good
951.08,3.31,7.66,1,Acceptable
578.85,0.21,6.28,2,Good
643.44,1.76,6.08,1,Acceptable
200.44,0.81,7.3,3,Excellent
521.33,2.98,6.91,2,Good
711.62,2.39,7.63,2,Good
187.99,0.1,7.42,3,Excellent
271.77,1.01,7.54,2,Good
559.66,1.04,6.51,2,Good
680.64,50.0,9.09,0,Poor
1142.73,3.96,5.51,1,Acceptable
374.53,3.55,6.86,1,Acceptable
1361.63,3.36,5.09,1,Acceptable
806.24,3.92,5.83,1,Acceptable
897.65,2.2,6.52,2,Good
413.5,0.7,7.53,2,Good
273.34,0.71,7.3,3,Excellent
1220.9,50.0,6.18,0,Poor
395.76,0.55,7.75,2,Good
406.19,3.19,6.64,2,Good
524.48,1.0,7.4,3,Excellent
659.55,8.8,9.49,1,Acceptable
273.8,0.1,7.24,3,Excellent
479.57,10.29,6.85,1,Acceptable
1274.26,37.14,9.33,0,Poor
296.4,0.77,7.07,3,Excellent
199.0,0.31,7.04,3,Excellent
507.45,0.3,6.7,2,Good
930.02,10.73,6.75,1,Acceptable
940.58,2.14,7.01,2,Good
222.44,0.97,7.28,3,Excellent
1034.3,10.8,6.99,0,Poor
131.41,0.85,7.5,3,Excellent
199.29,0.18,7.23,3,Excellent
269.77,0.1,7.45,3,Excellent
91.03,0.13,7.06,3,Excellent
715.32,9.11,7.16,2,Good
111.66,0.72,7.18,3,Excellent
250.14,2.66,6.89,2,Good
443.49,2.22,7.11,2,Good
593.75,3.03,7.27,1,Acceptable
1702.18,2.24,5.16,1,Acceptable
1301.39,29.16,9.47,0,Poor
712.27,5.06,9.01,1,Acceptable
287.41,0.85,7.17,3,Excellent
708.14,3.49,7.24,2,Good
185.27,0.16,7.33,3,Excellent
216.5,0.25,7.53,3,Excellent
493.88,2.31,6.97,2,Good
253.1,0.74,7.17,3,Excellent
490.7,0.69,6.18,2,Good
825.39,13.18,6.44,1,Acceptable
433.7,3.48,7.32,2,Good
499.98,0.83,7.5,3,Excellent
171.51,0.11,7.07,3,Excellent
518.1,1.99,7.46,1,Acceptable
357.18,3.48,6.41,2,Good
1560.88,8.49,5.41,0,Poor
873.29,4.15,5.91,1,Acceptable
483.68,1.22,7.18,2,Good
1043.08,5.54,10.05,0,Poor
391.1,0.1,7.24,3,Excellent
231.67,0.27,7.16,3,Excellent
560.84,0.1,6.88,2,Good
163.27,1.25,7.16,3,Excellent
813.11,16.8,7.51,1,Acceptable
364.12,3.04,6.59,2,Good
152.32,1.67,7.34,3,Excellent
246.83,0.59,7.21,3,Excellent
100.12,0.31,7.55,3,Excellent
804.3,16.03,6.51,1,Acceptable
908.62,3.48,7.34,2,Good
315.14,0.1,6.16,2,Good
50.0,0.33,7.23,3,Excellent
738.1,1.42,6.82,2,Good
617.95,5.67,7.89,1,Acceptable
504.38,1.09,7.38,2,Good
177.0,0.1,7.19,3,Excellent
210.23,0.1,7.12,3,Excellent
447.0,0.62,7.43,3,Excellent
439.81,1.52,6.94,2,Good
126.65,0.28,7.21,3,Excellent
1365.59,8.53,6.04,1,Acceptable
1155.87,16.36,9.36,0,Poor
265.86,0.1,7.28,3,Excellent
805.36,2.55,6.15,1,Acceptable
362.82,1.18,7.26,2,Good
631.24,2.8,7.11,2,Good
173.57,0.45,7.41,2,Good
420.1,0.62,6.98,2,Good
161.56,0.84,7.4,3,Excellent
788.5,2.63,6.68,2,Good
438.43,0.89,7.07,3,Excellent
812.39,3.51,6.44,1,Acceptable
610.34,2.08,7.4,2,Good
158.33,1.42,6.92,2,Good
385.16,0.1,7.07,3,Excellent
1320.54,11.88,9.81,0,Poor
342.02,0.51,6.62,2,Good
1300.26,50.0,9.15,0,Poor
521.71,2.25,6.83,2,Good
396.2,1.5,7.08,2,Good
820.37,3.0,6.17,0,Poor
489.45,0.4,7.27,3,Excellent
131.52,0.1,7.23,3,Excellent
479.36,0.15,6.64,2,Good
709.92,0.91,7.03,2,Good
1696.62,1.2,10.02,1,Acceptable
332.58,0.69,6.76,2,Good
1038.02,8.07,9.79,0,Poor
963.54,9.25,5.84,0,Poor
325.36,1.61,7.07,2,Good
486.88,1.99,7.18,2,Good
459.01,0.94,7.0,3,Excellent
339.46,0.69,7.31,3,Excellent
990.3,7.39,7.7,1,Acceptable
749.02,17.06,6.09,1,Acceptable
471.68,0.37,7.25,3,Excellent
290.05,1.45,7.26,3,Excellent
390.96,4.62,7.09,2,Good
810.34,2.44,6.67,2,Good
349.63,1.58,7.77,2,Good
406.73,3.41,7.22,2,Good
249.72,1.43,7.47,3,Excellent
510.58,4.89,7.01,3,Excellent
1252.56,3.23,9.36,1,Acceptable
843.94,50.0,8.59,1,Acceptable
186.78,0.11,7.16,3,Excellent
470.28,0.45,7.34,3,Excellent
304.46,0.77,6.89,2,Good
870.41,41.75,5.38,0,Poor
426.42,0.79,7.47,3,Excellent
1529.81,5.63,9.35,0,Poor
757.84,8.73,6.22,1,Acceptable
450.7,0.1,6.93,3,Excellent
1061.24,20.45,5.01,0,Poor
467.79,0.93,7.54,2,Good
400.67,0.37,7.26,3,Excellent
219.74,0.32,7.1,2,Good
1068.01,4.1,9.72,0,Poor
171.85,0.11,7.36,3,Excellent
760.73,5.63,5.63,1,Acceptable
908.19,7.33,8.53,1,Acceptable
640.58,1.54,6.28,1,Acceptable
194.47,0.45,7.13,3,Excellent
542.21,1.65,7.04,2,Good
752.11,0.78,6.6,2,Good
162.32,0.14,7.3,3,Excellent
1206.3,5.3,10.15,1,Acceptable
1091.52,16.89,5.23,1,Acceptable
245.22,0.15,7.42,3,Excellent
1230.06,18.95,9.5,0,Poor
315.0,0.73,7.05,3,Excellent
197.95,0.19,7.16,3,Excellent
521.7,0.71,6.62,2,Good
400.98,1.92,6.39,2,Good
678.42,0.47,5.95,1,Acceptable
982.43,5.12,9.84,0,Poor
968.83,10.75,10.16,0,Poor
787.57,2.59,5.36,1,Acceptable
353.41,2.88,7.05,2,Good
425.51,0.22,7.06,3,Excellent
214.46,0.12,7.55,3,Excellent
500.01,4.9,7.44,2,Good
256.01,0.31,7.25,3,Excellent
452.77,6.27,7.88,2,Good
792.04,15.08,5.38,0,Poor
961.91,2.66,7.03,3,Excellent
143.14,0.54,6.99,3,Excellent
286.46,2.05,6.9,2,Good
205.73,0.24,7.23,3,Excellent
233.84,2.86,7.49,3,Excellent
616.15,4.92,6.74,1,Acceptable
816.16,1.89,8.11,2,Good
537.75,9.07,7.82,2,Good
1162.76,50.0,9.38,0,Poor
1393.55,17.12,5.26,0,Poor
558.66,8.45,7.12,2,Good
258.25,0.93,7.52,3,Excellent
860.77,0.71,6.58,2,Good
1416.85,16.45,5.69,0,Poor
672.96,11.18,7.22,2,Good
227.93,0.3,7.08,3,Excellent
671.82,5.2,5.48,2,Good
402.34,1.53,6.68,2,Good
1038.45,0.71,6.13,1,Acceptable
838.4,3.55,6.67,2,Good
246.24,0.1,7.11,3,Excellent
52.15,0.76,7.24,3,Excellent
1449.46,50.0,9.39,0,Poor
438.52,1.24,6.52,2,Good
414.82,1.12,7.26,2,Good
181.54,1.39,7.14,3,Excellent
1171.3,6.16,6.58,1,Acceptable
435.86,8.21,7.12,2,Good
837.43,0.37,8.82,2,Good
202.52,0.77,7.43,3,Excellent
283.14,0.42,7.17,3,Excellent
1161.51,21.34,5.81,0,Poor
627.28,5.84,9.72,1,Acceptable
257.02,0.13,7.24,3,Excellent
208.82,0.55,7.45,3,Excellent
409.03,2.19,6.92,2,Good
815.12,0.56,8.01,2,Good
928.83,0.1,9.44,1,Acceptable
333.54,0.86,7.06,3,Excellent
1447.32,19.18,8.8,0,Poor
894.28,10.72,8.83,1,Acceptable
701.34,24.04,6.01,1,Acceptable
465.75,5.15,7.28,2,Good
176.61,0.3,7.33,3,Excellent
282.29,0.33,7.09,3,Excellent
994.99,5.81,5.45,0,Poor
473.96,1.09,6.66,3,Excellent
857.73,14.01,7.14,2,Good
